epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1451,2.33677,3.42304,0.01063,0.3712,0.34434,0.2128,0.08791,2.01166,3.61085,0.02096,0.000330218,0.000330218,0.0673084
2,65.8517,2.03469,2.09246,0.00813,0.53653,0.45667,0.43371,0.20715,1.96777,1.99497,0.02124,0.000659172,0.000659172,0.034304
3,94.6656,1.97366,1.88411,0.00844,0.6302,0.55471,0.56181,0.27767,1.86856,1.86654,0.02038,0.000983726,0.000983726,0.00129525
4,123.964,1.95922,1.72665,0.00839,0.6658,0.54861,0.58029,0.28276,1.97306,1.86918,0.02268,0.0009802,0.0009802,0.0009802
5,153.95,1.98543,1.6902,0.00872,0.73365,0.57952,0.64003,0.30455,1.94408,1.92119,0.02153,0.0009736,0.0009736,0.0009736
6,183.375,1.98088,1.643,0.00833,0.72514,0.53986,0.60027,0.31981,1.87424,1.67774,0.02132,0.000967,0.000967,0.000967
7,213.269,1.96218,1.59641,0.00751,0.773,0.61584,0.6861,0.35677,1.83426,1.55996,0.02107,0.0009604,0.0009604,0.0009604
8,242.172,1.8948,1.52831,0.00817,0.72188,0.53293,0.54383,0.28247,1.85774,1.80339,0.02066,0.0009538,0.0009538,0.0009538
9,271.339,1.904,1.45185,0.0076,0.79039,0.66177,0.7218,0.36826,1.84152,1.42219,0.01999,0.0009472,0.0009472,0.0009472
10,300.118,1.89325,1.47838,0.00863,0.74572,0.61647,0.66625,0.34006,1.94482,1.45614,0.02276,0.0009406,0.0009406,0.0009406
11,329.718,1.8811,1.42946,0.00816,0.80161,0.65487,0.71335,0.37071,1.85044,1.46828,0.02101,0.000934,0.000934,0.000934
12,359.068,1.86045,1.34894,0.00797,0.80702,0.66343,0.72912,0.38395,1.86128,1.30494,0.02119,0.0009274,0.0009274,0.0009274
13,388.034,1.85196,1.29497,0.00761,0.79382,0.67511,0.72732,0.34705,1.86131,1.37938,0.01977,0.0009208,0.0009208,0.0009208
14,417.347,1.85163,1.30027,0.00754,0.79621,0.67245,0.7334,0.3767,1.83668,1.28582,0.02049,0.0009142,0.0009142,0.0009142
15,446.916,1.83604,1.29491,0.0079,0.81239,0.68379,0.75296,0.38263,1.93679,1.33462,0.02301,0.0009076,0.0009076,0.0009076
16,476.264,1.84194,1.25084,0.00755,0.81003,0.68864,0.75331,0.40261,1.77157,1.1996,0.01882,0.000901,0.000901,0.000901
17,505.626,1.87679,1.25209,0.00763,0.84812,0.67468,0.75273,0.41644,1.70597,1.26253,0.0176,0.0008944,0.0008944,0.0008944
18,534.784,1.8359,1.23603,0.00707,0.82055,0.67967,0.76068,0.42057,1.7524,1.20019,0.01896,0.0008878,0.0008878,0.0008878
19,564.311,1.8407,1.26438,0.00755,0.82709,0.68391,0.75729,0.40205,1.8103,1.26313,0.01969,0.0008812,0.0008812,0.0008812
20,593.48,1.77068,1.1737,0.00719,0.84153,0.66361,0.74866,0.39585,1.84556,1.21567,0.02095,0.0008746,0.0008746,0.0008746
21,623.306,1.8311,1.19082,0.00697,0.84122,0.6982,0.78012,0.41204,1.77367,1.2576,0.01906,0.000868,0.000868,0.000868
22,652.521,1.82587,1.21948,0.00773,0.85141,0.69466,0.77166,0.42485,1.77491,1.22892,0.01942,0.0008614,0.0008614,0.0008614
23,683.296,1.76468,1.19104,0.00798,0.82783,0.66217,0.74793,0.41281,1.75972,1.16518,0.01901,0.0008548,0.0008548,0.0008548
