epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.847,2.17548,2.92805,1.64412,0.18905,0.19072,0.07929,0.03098,2.23936,3.76022,1.85116,0.000132087,0.000132087,0.0671103
2,370.021,2.04183,2.17381,1.499,0.38785,0.4222,0.31864,0.13789,1.96068,2.17418,1.574,0.000258851,0.000258851,0.0339037
3,548.813,1.97438,1.92761,1.42999,0.49713,0.3869,0.36841,0.17229,1.86772,2.14892,1.54259,0.000379016,0.000379016,0.000690542
4,716.915,1.93403,1.84092,1.43834,0.58779,0.49703,0.49656,0.23503,1.7935,1.69266,1.50339,0.0003703,0.0003703,0.0003703
5,878.04,1.92159,1.77564,1.40213,0.56328,0.50118,0.48341,0.22022,1.88508,1.71221,1.57041,0.0003604,0.0003604,0.0003604
6,1039.97,1.87492,1.70166,1.40239,0.67927,0.47672,0.51688,0.26007,1.75868,1.63161,1.50708,0.0003505,0.0003505,0.0003505
7,1201.09,1.85201,1.62617,1.37476,0.65812,0.51233,0.55992,0.26807,1.75903,1.59696,1.51016,0.0003406,0.0003406,0.0003406
8,1361.16,1.83835,1.63941,1.37686,0.6054,0.53972,0.50684,0.24174,1.78673,1.66897,1.49223,0.0003307,0.0003307,0.0003307
9,1519.01,1.85264,1.59287,1.37427,0.65465,0.52703,0.54279,0.26838,1.72136,1.53733,1.43344,0.0003208,0.0003208,0.0003208
10,1678.53,1.79323,1.54283,1.36119,0.72335,0.56792,0.59521,0.30197,1.70354,1.48212,1.43798,0.0003109,0.0003109,0.0003109
11,1837.6,1.8073,1.5458,1.35385,0.72939,0.5484,0.57741,0.29092,1.69154,1.42673,1.41994,0.000301,0.000301,0.000301
12,1997.2,1.79353,1.49582,1.36015,0.74978,0.57978,0.61112,0.31324,1.6553,1.43714,1.42086,0.0002911,0.0002911,0.0002911
13,2159.34,1.8096,1.47128,1.32999,0.78063,0.60565,0.65209,0.34366,1.65401,1.36545,1.42619,0.0002812,0.0002812,0.0002812
14,2320.56,1.77471,1.45206,1.33114,0.70789,0.56139,0.59718,0.31704,1.66666,1.42053,1.40831,0.0002713,0.0002713,0.0002713
15,2480.21,1.73359,1.42375,1.31932,0.78432,0.61196,0.64524,0.33961,1.62709,1.30932,1.39749,0.0002614,0.0002614,0.0002614
16,2639.93,1.76675,1.38863,1.30079,0.76776,0.60931,0.6427,0.3362,1.66628,1.3441,1.42351,0.0002515,0.0002515,0.0002515
17,2800.24,1.74429,1.35651,1.30656,0.80448,0.61397,0.66515,0.35465,1.60935,1.3081,1.37205,0.0002416,0.0002416,0.0002416
18,2962.3,1.73638,1.33105,1.27032,0.79865,0.62202,0.67358,0.35175,1.65209,1.2817,1.40735,0.0002317,0.0002317,0.0002317
19,3124.61,1.75303,1.36408,1.30075,0.80008,0.60801,0.66635,0.34959,1.61956,1.28348,1.37194,0.0002218,0.0002218,0.0002218
20,3311.52,1.73604,1.31048,1.28231,0.79301,0.62565,0.6733,0.34286,1.69586,1.2808,1.40399,0.0002119,0.0002119,0.0002119
21,3523.16,1.71394,1.31714,1.28293,0.80621,0.6282,0.67717,0.36221,1.62274,1.27141,1.38567,0.000202,0.000202,0.000202
22,3732.05,1.72098,1.33817,1.30027,0.81824,0.63136,0.68252,0.36462,1.62752,1.27521,1.40706,0.0001921,0.0001921,0.0001921
23,3936.28,1.70862,1.31452,1.27916,0.81449,0.63267,0.68659,0.35829,1.63759,1.24058,1.39674,0.0001822,0.0001822,0.0001822
24,4131.89,1.69412,1.31131,1.26875,0.82225,0.62559,0.69219,0.38365,1.55906,1.24044,1.3448,0.0001723,0.0001723,0.0001723
25,4329.45,1.71764,1.32251,1.2887,0.8227,0.64363,0.69646,0.38456,1.55642,1.23973,1.34207,0.0001624,0.0001624,0.0001624
26,4516,1.70271,1.30683,1.27415,0.78314,0.62893,0.6801,0.3688,1.57498,1.20551,1.3365,0.0001525,0.0001525,0.0001525
27,4715.18,1.66039,1.25721,1.25311,0.81175,0.63911,0.68967,0.37477,1.56013,1.18553,1.35586,0.0001426,0.0001426,0.0001426
28,4934.15,1.66088,1.23551,1.24397,0.82071,0.63901,0.69952,0.39058,1.5474,1.15794,1.34003,0.0001327,0.0001327,0.0001327
29,5148.89,1.66121,1.26599,1.26578,0.81389,0.65853,0.70671,0.38971,1.54926,1.1504,1.33364,0.0001228,0.0001228,0.0001228
30,5329.4,1.65985,1.24105,1.25863,0.82259,0.63796,0.69918,0.39319,1.52096,1.16277,1.31813,0.0001129,0.0001129,0.0001129
31,5491.28,1.58955,1.27652,1.27125,0.81807,0.63576,0.69819,0.379,1.5548,1.21001,1.33747,0.000103,0.000103,0.000103
32,5647.52,1.5934,1.26738,1.25918,0.82282,0.65168,0.70629,0.39595,1.50948,1.17508,1.315,9.31e-05,9.31e-05,9.31e-05
33,5804.43,1.5693,1.20886,1.24176,0.82698,0.65137,0.70636,0.39514,1.52844,1.17795,1.33016,8.32e-05,8.32e-05,8.32e-05
34,5962.29,1.57921,1.21641,1.24823,0.80992,0.661,0.70773,0.39908,1.52775,1.14935,1.31701,7.33e-05,7.33e-05,7.33e-05
35,6118.79,1.56621,1.18786,1.23877,0.83076,0.64195,0.70716,0.40293,1.49636,1.13267,1.30261,6.34e-05,6.34e-05,6.34e-05
36,6274.24,1.55221,1.20496,1.24687,0.83135,0.64864,0.70928,0.39646,1.49956,1.1513,1.29857,5.35e-05,5.35e-05,5.35e-05
37,6431.64,1.56483,1.194,1.25636,0.84062,0.64917,0.71393,0.40422,1.48984,1.12852,1.30081,4.36e-05,4.36e-05,4.36e-05
38,6588.12,1.57544,1.17612,1.23194,0.82697,0.65368,0.71267,0.40716,1.49406,1.1144,1.30426,3.37e-05,3.37e-05,3.37e-05
39,6744.8,1.52272,1.14862,1.2152,0.84052,0.65165,0.71716,0.41135,1.47869,1.10409,1.29297,2.38e-05,2.38e-05,2.38e-05
40,6900.1,1.55311,1.15476,1.22579,0.83287,0.65864,0.71689,0.40626,1.48737,1.10091,1.29452,1.39e-05,1.39e-05,1.39e-05
