epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8488,2.14234,3.00331,1.65727,0.36704,0.13763,0.13452,0.04928,2.03244,3.72806,1.82895,0.000330218,0.000330218,0.0673084
2,28.2322,1.93991,2.13722,1.46348,0.36134,0.4307,0.30467,0.14899,1.88995,2.69134,1.71734,0.000656982,0.000656982,0.0343018
3,41.3687,1.89704,1.92842,1.46341,0.53396,0.43847,0.44582,0.21011,1.84471,2.06246,1.71306,0.000977146,0.000977146,0.00128867
4,54.7306,1.85464,1.80358,1.44561,0.63642,0.52559,0.54111,0.26756,1.78804,1.97666,1.67011,0.0009703,0.0009703,0.0009703
5,68.0979,1.85756,1.80155,1.47046,0.66675,0.52151,0.56239,0.26606,1.81933,1.89935,1.66862,0.0009604,0.0009604,0.0009604
6,81.3452,1.85907,1.7095,1.43983,0.71291,0.53491,0.56896,0.27114,1.77044,1.67189,1.67073,0.0009505,0.0009505,0.0009505
7,94.9428,1.81563,1.64386,1.38978,0.60197,0.56742,0.58346,0.27386,1.78384,1.71452,1.62454,0.0009406,0.0009406,0.0009406
8,108.613,1.79677,1.65896,1.43835,0.6935,0.56319,0.59262,0.2949,1.7026,1.60719,1.59195,0.0009307,0.0009307,0.0009307
9,122.202,1.77535,1.54454,1.37893,0.75776,0.56969,0.62761,0.31041,1.72452,1.66036,1.64304,0.0009208,0.0009208,0.0009208
10,135.565,1.74251,1.51604,1.40001,0.64457,0.56068,0.58061,0.28749,1.7293,1.71168,1.59074,0.0009109,0.0009109,0.0009109
11,149.046,1.74532,1.50802,1.39628,0.72671,0.61471,0.64752,0.31111,1.75131,1.55903,1.59645,0.000901,0.000901,0.000901
12,162.524,1.7396,1.50216,1.37467,0.79202,0.59893,0.6647,0.32682,1.74039,1.51434,1.62095,0.0008911,0.0008911,0.0008911
13,176.019,1.74093,1.44681,1.34651,0.77978,0.61828,0.68141,0.33465,1.70847,1.46104,1.5541,0.0008812,0.0008812,0.0008812
14,189.692,1.77211,1.46442,1.35793,0.73803,0.57378,0.61113,0.30213,1.75367,1.53965,1.5968,0.0008713,0.0008713,0.0008713
15,203.201,1.71684,1.41387,1.34576,0.77527,0.59693,0.67802,0.34939,1.71665,1.49475,1.57949,0.0008614,0.0008614,0.0008614
16,216.92,1.67011,1.3446,1.32141,0.78389,0.64271,0.69306,0.32978,1.73294,1.46681,1.5923,0.0008515,0.0008515,0.0008515
17,230.57,1.73265,1.36739,1.33755,0.84129,0.64956,0.71928,0.37971,1.64118,1.41585,1.53289,0.0008416,0.0008416,0.0008416
18,243.889,1.68328,1.30899,1.31713,0.8459,0.65956,0.72486,0.39345,1.58368,1.37692,1.50306,0.0008317,0.0008317,0.0008317
19,257.161,1.68906,1.32714,1.33084,0.82574,0.64039,0.70987,0.36589,1.68593,1.38373,1.5744,0.0008218,0.0008218,0.0008218
20,270.353,1.61639,1.26787,1.29453,0.80861,0.63664,0.69724,0.35929,1.74469,1.40557,1.64846,0.0008119,0.0008119,0.0008119
21,283.878,1.69475,1.29206,1.30931,0.76029,0.65763,0.71018,0.38803,1.64015,1.39008,1.56086,0.000802,0.000802,0.000802
22,297.162,1.62255,1.29369,1.31417,0.78887,0.61715,0.67746,0.37153,1.61401,1.36237,1.52942,0.0007921,0.0007921,0.0007921
23,310.491,1.62381,1.3125,1.32933,0.81492,0.65823,0.72463,0.37558,1.64836,1.33885,1.57698,0.0007822,0.0007822,0.0007822
24,323.929,1.6177,1.27324,1.30853,0.80241,0.65329,0.72171,0.39031,1.64068,1.31897,1.54128,0.0007723,0.0007723,0.0007723
25,337.326,1.61664,1.23271,1.29391,0.80559,0.61479,0.69195,0.3943,1.58838,1.34811,1.51443,0.0007624,0.0007624,0.0007624
26,350.329,1.60538,1.26913,1.33081,0.76949,0.62349,0.68205,0.35679,1.65125,1.31278,1.56876,0.0007525,0.0007525,0.0007525
27,363.9,1.63887,1.26543,1.3163,0.82804,0.66906,0.73421,0.4036,1.64903,1.34947,1.58349,0.0007426,0.0007426,0.0007426
28,377.575,1.61786,1.21539,1.27603,0.83418,0.67666,0.73566,0.39686,1.59624,1.27846,1.49151,0.0007327,0.0007327,0.0007327
29,391.015,1.54615,1.15324,1.2513,0.82849,0.66596,0.7356,0.40938,1.60893,1.27768,1.52969,0.0007228,0.0007228,0.0007228
30,404.674,1.56727,1.14258,1.25919,0.84007,0.69717,0.75327,0.41765,1.54363,1.24588,1.48041,0.0007129,0.0007129,0.0007129
31,418.371,1.58039,1.1788,1.29014,0.80797,0.65803,0.73367,0.40128,1.61961,1.26116,1.54942,0.000703,0.000703,0.000703
32,431.536,1.58179,1.183,1.29222,0.85078,0.70386,0.76423,0.41713,1.58136,1.20096,1.50953,0.0006931,0.0006931,0.0006931
33,445.001,1.57775,1.16592,1.27584,0.82123,0.68149,0.73395,0.38666,1.5811,1.24624,1.49345,0.0006832,0.0006832,0.0006832
34,458.386,1.5541,1.14241,1.27,0.84005,0.69202,0.75319,0.42616,1.51728,1.1994,1.45525,0.0006733,0.0006733,0.0006733
35,472.064,1.5719,1.15028,1.26809,0.84121,0.69253,0.75283,0.42092,1.57458,1.22293,1.4929,0.0006634,0.0006634,0.0006634
36,485.335,1.57553,1.13329,1.254,0.82383,0.68411,0.75226,0.42828,1.52279,1.15451,1.46344,0.0006535,0.0006535,0.0006535
37,498.762,1.57937,1.16158,1.28833,0.85799,0.7,0.76017,0.42936,1.53718,1.18504,1.47233,0.0006436,0.0006436,0.0006436
38,512.48,1.52952,1.10829,1.27055,0.8378,0.69356,0.7553,0.41087,1.58611,1.14586,1.49832,0.0006337,0.0006337,0.0006337
39,526.081,1.59282,1.16291,1.28379,0.86324,0.6854,0.76086,0.42468,1.57525,1.17149,1.49504,0.0006238,0.0006238,0.0006238
40,539.843,1.5498,1.13164,1.25534,0.86406,0.70103,0.76405,0.41648,1.60736,1.19304,1.52616,0.0006139,0.0006139,0.0006139
41,553.166,1.58964,1.15399,1.28236,0.84085,0.69723,0.76442,0.4211,1.61794,1.14571,1.51973,0.000604,0.000604,0.000604
42,566.323,1.4851,1.04748,1.23499,0.86647,0.69298,0.76944,0.43619,1.56254,1.12863,1.49326,0.0005941,0.0005941,0.0005941
43,579.665,1.51639,1.08219,1.24771,0.84787,0.71248,0.77739,0.44807,1.54408,1.11407,1.47335,0.0005842,0.0005842,0.0005842
44,593.089,1.56013,1.09788,1.26202,0.82824,0.70815,0.76478,0.43613,1.53544,1.1534,1.47075,0.0005743,0.0005743,0.0005743
45,606.773,1.55917,1.0782,1.24264,0.86288,0.70937,0.77397,0.45055,1.5419,1.10556,1.48064,0.0005644,0.0005644,0.0005644
46,619.945,1.55221,1.09715,1.26006,0.85847,0.71619,0.77752,0.44197,1.55789,1.12537,1.50666,0.0005545,0.0005545,0.0005545
47,633.299,1.52733,1.10196,1.26355,0.87027,0.69503,0.77532,0.45166,1.49822,1.12847,1.45279,0.0005446,0.0005446,0.0005446
48,646.673,1.52106,1.08405,1.25234,0.86174,0.70812,0.7719,0.45133,1.48211,1.10053,1.42455,0.0005347,0.0005347,0.0005347
49,660.149,1.51201,1.04114,1.21445,0.87616,0.7018,0.77348,0.42851,1.52746,1.0606,1.45893,0.0005248,0.0005248,0.0005248
50,673.715,1.52669,1.04561,1.22713,0.85161,0.6854,0.76198,0.42302,1.5561,1.11009,1.4691,0.0005149,0.0005149,0.0005149
51,686.939,1.51347,1.02997,1.22134,0.85401,0.70696,0.76793,0.44752,1.52226,1.11285,1.45429,0.000505,0.000505,0.000505
