epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
1,38.6483,2.12917,2.8485,1.68465,12.5183,0.30831,0.30801,0.23679,0.10113,2.07244,5.01949,2.0525,0,0.00032716,0.00032716,0.0676111
2,110.446,1.84751,1.76975,1.48988,10.5453,0.44069,0.44875,0.37628,0.16014,1.90331,5.39149,1.94363,0,0.000656135,0.000656135,0.0346068
3,225.541,1.84497,1.61656,1.47497,9.1931,0.6221,0.56834,0.56579,0.26933,1.82689,2.25356,1.92934,0,0.000980709,0.000980709,0.00159799
4,294.095,1.75593,1.4632,1.41176,8.32238,0.65158,0.54088,0.57636,0.29257,1.77425,1.72879,1.81015,0,0.0009802,0.0009802,0.0009802
5,344.227,1.78346,1.48435,1.42486,7.68872,0.65466,0.58765,0.58704,0.30117,1.7487,1.74466,1.72972,0,0.0009736,0.0009736,0.0009736
6,376.015,1.72284,1.40046,1.41421,7.2457,0.74501,0.59472,0.63786,0.31104,1.83823,1.59913,1.79758,0,0.000967,0.000967,0.000967
7,407.493,1.66041,1.26291,1.33168,6.89863,0.7792,0.62264,0.67497,0.33888,1.76348,1.40382,1.74109,0,0.0009604,0.0009604,0.0009604
8,439.143,1.73629,1.318,1.36521,6.7816,0.78179,0.61357,0.67349,0.34722,1.76267,1.40336,1.7405,0,0.0009538,0.0009538,0.0009538
9,475.658,1.64836,1.23491,1.33233,6.52206,0.7939,0.64317,0.6972,0.35482,1.66007,1.36514,1.63158,0,0.0009472,0.0009472,0.0009472
10,536.959,1.63413,1.21108,1.31202,6.30302,0.83401,0.5962,0.67534,0.3823,1.57109,1.30715,1.5523,0,0.0009406,0.0009406,0.0009406
11,574.901,1.6024,1.17987,1.28349,6.24154,0.75756,0.58561,0.65333,0.36217,1.67858,1.33475,1.66249,0,0.000934,0.000934,0.000934
12,684.52,1.65381,1.21359,1.31361,6.22218,0.71477,0.61878,0.63703,0.34047,1.59786,1.29787,1.59514,0,0.0009274,0.0009274,0.0009274
13,723.838,1.62405,1.17744,1.33125,6.14912,0.84424,0.68448,0.75568,0.41274,1.56139,1.17147,1.57392,0,0.0009208,0.0009208,0.0009208
14,758.195,1.59243,1.16666,1.32636,5.8833,0.84752,0.67294,0.74554,0.39711,1.63711,1.16425,1.61749,0,0.0009142,0.0009142,0.0009142
15,819.645,1.50874,1.04853,1.23202,5.64215,0.78552,0.65447,0.70036,0.39097,1.55391,1.1891,1.55343,0,0.0009076,0.0009076,0.0009076
16,850.798,1.54949,1.1085,1.29599,5.64556,0.81193,0.66764,0.73448,0.3999,1.67332,1.15348,1.62352,0,0.000901,0.000901,0.000901
17,886.53,1.58604,1.13288,1.29365,5.61689,0.81388,0.67588,0.73289,0.40858,1.53201,1.14911,1.53636,0,0.0008944,0.0008944,0.0008944
18,918.247,1.54879,1.09073,1.27551,5.48287,0.83167,0.69311,0.76458,0.41996,1.56676,1.16325,1.55477,0,0.0008878,0.0008878,0.0008878
19,957.152,1.55564,1.10389,1.29325,5.40962,0.85378,0.6831,0.76255,0.4095,1.59287,1.15557,1.57722,0,0.0008812,0.0008812,0.0008812
20,1003.2,1.53194,1.04696,1.26996,5.3164,0.86431,0.6869,0.76536,0.4156,1.63651,1.13453,1.62361,0,0.0008746,0.0008746,0.0008746
21,1142.22,1.51435,1.03321,1.22926,5.0597,0.85687,0.70873,0.77136,0.44022,1.59188,1.10469,1.59374,0,0.000868,0.000868,0.000868
22,1231.24,1.51176,1.00729,1.24623,5.12511,0.85211,0.69623,0.76843,0.44945,1.55633,1.07557,1.56736,0,0.0008614,0.0008614,0.0008614
23,1266.36,1.46255,0.96021,1.22255,4.79667,0.86803,0.72033,0.78398,0.44331,1.5153,0.98054,1.53216,0,0.0008548,0.0008548,0.0008548
24,1298.1,1.49613,1.0053,1.25594,4.89312,0.86016,0.70514,0.77325,0.42154,1.56798,1.0789,1.55387,0,0.0008482,0.0008482,0.0008482
25,1352.05,1.46886,0.97462,1.24626,4.89967,0.83969,0.70509,0.76658,0.42922,1.53504,1.06939,1.52711,0,0.0008416,0.0008416,0.0008416
26,1439.98,1.52546,0.99733,1.25231,4.84098,0.84804,0.66862,0.74218,0.39194,1.58115,1.04706,1.56974,0,0.000835,0.000835,0.000835
27,1481.8,1.47993,0.9169,1.2053,4.54821,0.8402,0.67617,0.75465,0.42703,1.55308,1.04271,1.56865,0,0.0008284,0.0008284,0.0008284
28,1553.38,1.46691,0.94547,1.22207,4.58376,0.84843,0.72356,0.77858,0.42566,1.52892,1.01732,1.52822,0,0.0008218,0.0008218,0.0008218
29,1610.54,1.4421,0.93328,1.2057,4.48611,0.85729,0.74303,0.79734,0.4469,1.50481,0.99399,1.52916,0,0.0008152,0.0008152,0.0008152
