epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
38,9097.78,1.76331,1.11565,1.12025,5.12427,0.82211,0.68286,0.75532,0.41708,1.71796,1.26676,1.52202,0,0.0007558,0.0007558,0.0007558
39,9370.44,1.73645,1.07624,1.09626,5.00802,0.83207,0.68352,0.76163,0.42466,1.63951,1.22496,1.45579,0,0.0007492,0.0007492,0.0007492
40,9521.36,1.7126,1.09337,1.11525,4.93485,0.8042,0.69933,0.76545,0.42268,1.67024,1.19857,1.46479,0,0.0007426,0.0007426,0.0007426
41,9789.41,1.73329,1.07173,1.12456,4.83872,0.84209,0.69566,0.77277,0.42551,1.66217,1.20036,1.49826,0,0.000736,0.000736,0.000736
42,10029.2,1.70744,1.03699,1.10391,4.96275,0.85037,0.71101,0.78394,0.45092,1.62008,1.11812,1.45224,0,0.0007294,0.0007294,0.0007294
43,10295.5,1.71749,1.04165,1.10053,4.86926,0.83306,0.68312,0.7668,0.42316,1.65714,1.35013,1.49249,0,0.0007228,0.0007228,0.0007228
44,10506.7,1.72984,1.05437,1.08269,4.74606,0.85642,0.70307,0.78138,0.44154,1.6843,1.10583,1.49767,0,0.0007162,0.0007162,0.0007162
45,10776.7,1.75138,1.03139,1.08298,4.81978,0.83681,0.71084,0.77603,0.43258,1.65392,1.25737,1.47867,0,0.0007096,0.0007096,0.0007096
46,11040.3,1.75733,1.03407,1.09809,4.78114,0.85474,0.69686,0.77435,0.43896,1.67606,1.21081,1.51841,0,0.000703,0.000703,0.000703
47,11272,1.72401,1.07334,1.10666,4.70245,0.85933,0.71689,0.79201,0.45253,1.65878,1.17082,1.49624,0,0.0006964,0.0006964,0.0006964
48,11495.3,1.65272,0.98595,1.09512,4.56029,0.86357,0.70117,0.77626,0.42388,1.70883,1.12025,1.49084,0,0.0006898,0.0006898,0.0006898
49,11828.2,1.6988,1.02534,1.09895,4.4919,0.85156,0.70545,0.78111,0.42708,1.67928,1.21975,1.48656,0,0.0006832,0.0006832,0.0006832
50,12091.3,1.72232,0.98111,1.06563,4.40623,0.82329,0.708,0.77364,0.39701,1.76959,1.21253,1.53937,0,0.0006766,0.0006766,0.0006766
51,12379.3,1.75145,1.02514,1.08829,4.45717,0.84453,0.70133,0.77322,0.42486,1.72355,1.22243,1.50507,0,0.00067,0.00067,0.00067
52,12603.1,1.68298,1.01501,1.09774,4.41442,0.86284,0.71224,0.7951,0.44036,1.72814,1.07085,1.52624,0,0.0006634,0.0006634,0.0006634
53,12811.7,1.70621,1.00403,1.0755,4.42878,0.85583,0.71843,0.78739,0.42819,1.6894,1.1218,1.49773,0,0.0006568,0.0006568,0.0006568
