epoch,time,train/box_loss,train/cls_loss,train/l1_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
38,9614.92,1.65858,0.95344,0.0057,2.39936,0.82141,0.68499,0.7485,0.41539,1.69867,1.09518,0.0167,0,0.0007558,0.0007558,0.0007558
39,9866.29,1.6475,0.93553,0.00543,2.39013,0.86565,0.7051,0.78258,0.44593,1.6471,1.10632,0.01647,0,0.0007492,0.0007492,0.0007492
40,10157.9,1.64833,0.94072,0.006,2.40137,0.85183,0.71429,0.79172,0.42497,1.69228,1.02524,0.01686,0,0.0007426,0.0007426,0.0007426
41,10350,1.65831,0.94556,0.00625,2.31486,0.85539,0.70408,0.77402,0.43384,1.68794,1.02553,0.01681,0,0.000736,0.000736,0.000736
42,10569.5,1.60946,0.90457,0.0055,2.26646,0.88616,0.7342,0.81119,0.46918,1.62259,0.97362,0.01635,0,0.0007294,0.0007294,0.0007294
43,10769.4,1.62992,0.90495,0.00533,2.27232,0.87451,0.73735,0.81037,0.47925,1.61579,0.98025,0.01689,0,0.0007228,0.0007228,0.0007228
44,10981.6,1.65571,0.9029,0.00514,2.22151,0.88189,0.72815,0.81239,0.46393,1.65827,0.98331,0.01722,0,0.0007162,0.0007162,0.0007162
45,11272.9,1.64416,0.90504,0.00525,2.23089,0.87087,0.7248,0.80866,0.42621,1.80677,1.02357,0.01854,0,0.0007096,0.0007096,0.0007096
46,11533.3,1.64258,0.91825,0.00546,2.19887,0.8723,0.74628,0.81296,0.47456,1.58521,0.99125,0.01587,0,0.000703,0.000703,0.000703
47,11741.6,1.63217,0.93349,0.00578,2.22863,0.85054,0.73439,0.78911,0.42965,1.77211,1.02981,0.01805,0,0.0006964,0.0006964,0.0006964
48,11950.5,1.58518,0.8696,0.00572,2.1252,0.87295,0.71756,0.79632,0.42383,1.74543,0.99457,0.01721,0,0.0006898,0.0006898,0.0006898
49,12268.9,1.60719,0.8848,0.0054,2.10049,0.82306,0.71497,0.77399,0.44132,1.61884,1.00443,0.01592,0,0.0006832,0.0006832,0.0006832
50,12533.3,1.62926,0.88108,0.00492,2.07957,0.86289,0.74712,0.80775,0.45311,1.68543,0.97723,0.01692,0,0.0006766,0.0006766,0.0006766
51,12819.5,1.64497,0.89952,0.00531,2.0833,0.84624,0.73025,0.79082,0.426,1.75566,0.99481,0.01736,0,0.00067,0.00067,0.00067
52,13088.9,1.58573,0.85619,0.00542,2.05473,0.88627,0.72743,0.8085,0.44762,1.68739,0.93889,0.01649,0,0.0006634,0.0006634,0.0006634
53,13301.7,1.59215,0.86278,0.00491,2.05091,0.88178,0.73959,0.80962,0.46832,1.62304,0.97055,0.01614,0,0.0006568,0.0006568,0.0006568
54,13503.6,1.60489,0.86499,0.00532,2.04375,0.87294,0.71022,0.79356,0.45049,1.67443,0.99118,0.01681,0,0.0006502,0.0006502,0.0006502
55,13747.7,1.59055,0.86235,0.00545,2.00765,0.87916,0.73869,0.8059,0.44976,1.66998,0.98313,0.01621,0,0.0006436,0.0006436,0.0006436
56,13951.9,1.56857,0.85953,0.00543,1.98985,0.87725,0.73497,0.80242,0.45904,1.64354,0.92326,0.01646,0,0.000637,0.000637,0.000637
57,14218.5,1.55092,0.86471,0.00537,1.96742,0.86543,0.70191,0.78157,0.42923,1.73294,0.96056,0.01704,0,0.0006304,0.0006304,0.0006304
58,14475.9,1.56899,0.83188,0.00509,1.94043,0.8539,0.70487,0.78113,0.43584,1.67016,1.01492,0.01633,0,0.0006238,0.0006238,0.0006238
59,14672.2,1.58133,0.82791,0.00486,1.96436,0.85673,0.69063,0.76202,0.38454,1.80784,1.10759,0.01763,0,0.0006172,0.0006172,0.0006172
60,14914.4,1.57434,0.84629,0.00542,1.93329,0.87796,0.72593,0.79819,0.41805,1.77921,0.97956,0.0176,0,0.0006106,0.0006106,0.0006106
61,15215.2,1.59213,0.85714,0.00547,1.92339,0.87545,0.7444,0.81318,0.46873,1.60315,0.98818,0.0157,0,0.000604,0.000604,0.000604
62,15465.3,1.54262,0.8072,0.00499,1.83772,0.84497,0.72213,0.78519,0.44615,1.60532,0.95864,0.01586,0,0.0005974,0.0005974,0.0005974
63,15804.3,1.55933,0.81062,0.00485,1.88174,0.89201,0.75301,0.83037,0.4838,1.61499,0.93083,0.01596,0,0.0005908,0.0005908,0.0005908
64,16034.7,1.55202,0.80779,0.00493,1.84561,0.79685,0.68353,0.72576,0.3815,1.75817,1.04613,0.01671,0,0.0005842,0.0005842,0.0005842
65,16254.2,1.55618,0.80069,0.00504,1.81853,0.84941,0.72834,0.78799,0.4464,1.61171,0.95724,0.01504,0,0.0005776,0.0005776,0.0005776
66,16484.6,1.54633,0.80344,0.00501,1.78453,0.88245,0.74218,0.81044,0.45616,1.661,0.94832,0.01617,0,0.000571,0.000571,0.000571
67,16710.3,1.56469,0.81493,0.00512,1.82916,0.85338,0.7219,0.79092,0.44505,1.64154,0.96963,0.01568,0,0.0005644,0.0005644,0.0005644
68,16928.5,1.48738,0.76624,0.00495,1.77024,0.86509,0.73725,0.80383,0.46454,1.58167,0.9396,0.01527,0,0.0005578,0.0005578,0.0005578
69,17185.7,1.54467,0.80783,0.0051,1.779,0.87006,0.73427,0.80487,0.46534,1.60163,0.93624,0.0156,0,0.0005512,0.0005512,0.0005512
70,17447.4,1.55533,0.80985,0.00519,1.78623,0.87739,0.73967,0.80902,0.47098,1.56787,0.96833,0.01461,0,0.0005446,0.0005446,0.0005446
71,17665.2,1.52159,0.79815,0.00498,1.74959,0.83464,0.7196,0.79066,0.44298,1.60147,1.02661,0.01523,0,0.000538,0.000538,0.000538
72,17894.8,1.55542,0.81711,0.00517,1.73784,0.88658,0.74746,0.82502,0.48942,1.55368,0.92729,0.01507,0,0.0005314,0.0005314,0.0005314
73,18145.6,1.5127,0.77976,0.00483,1.70682,0.88509,0.74876,0.81583,0.45701,1.62222,0.98084,0.01563,0,0.0005248,0.0005248,0.0005248
74,18381.3,1.53269,0.76211,0.00491,1.69541,0.88388,0.76734,0.83759,0.47935,1.583,0.88794,0.01519,0,0.0005182,0.0005182,0.0005182
75,18639.2,1.52799,0.78653,0.00492,1.70624,0.85422,0.74404,0.79807,0.46852,1.63461,0.98221,0.01645,0,0.0005116,0.0005116,0.0005116
76,18840.4,1.47718,0.77814,0.0059,1.70802,0.87766,0.75531,0.82189,0.45843,1.63958,0.98407,0.0158,0,0.000505,0.000505,0.000505
77,19071.7,1.50442,0.76238,0.00473,1.70212,0.87571,0.73208,0.80857,0.46742,1.59167,0.99574,0.0153,0,0.0004984,0.0004984,0.0004984
78,19285,1.52628,0.76928,0.00457,1.69488,0.90248,0.75444,0.83204,0.48068,1.58357,0.93624,0.01505,0,0.0004918,0.0004918,0.0004918
79,19525.1,1.51802,0.75682,0.00438,1.65277,0.85691,0.73693,0.80414,0.46712,1.59385,0.94911,0.01514,0,0.0004852,0.0004852,0.0004852
80,19756.2,1.52285,0.77201,0.00479,1.68451,0.86752,0.73624,0.80986,0.46214,1.63292,0.93941,0.01568,0,0.0004786,0.0004786,0.0004786
81,20043.4,1.51276,0.75914,0.00481,1.64054,0.88974,0.74908,0.82781,0.48873,1.58977,0.94338,0.01578,0,0.000472,0.000472,0.000472
82,20285.6,1.50722,0.75845,0.00507,1.65944,0.89114,0.7605,0.83241,0.49598,1.55596,0.88128,0.01529,0,0.0004654,0.0004654,0.0004654
