epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
38,4319.36,1.40876,0.89344,1.18758,3.41001,0.87023,0.72868,0.79302,0.44357,1.48501,0.93477,1.46377,0,0.0007558,0.0007558,0.0007558
39,4401.13,1.39588,0.86692,1.16794,3.34776,0.86733,0.71284,0.78409,0.45278,1.43823,0.94123,1.45521,0,0.0007492,0.0007492,0.0007492
40,4539.43,1.3972,0.89612,1.19415,3.33058,0.8782,0.70795,0.78413,0.45844,1.40559,0.89133,1.43491,0,0.0007426,0.0007426,0.0007426
41,4591.37,1.40972,0.90159,1.20462,3.24637,0.86111,0.71487,0.79189,0.45844,1.44119,0.93225,1.45829,0,0.000736,0.000736,0.000736
42,4688.75,1.37058,0.84952,1.16426,3.27151,0.89579,0.73795,0.80709,0.477,1.39755,0.88992,1.41911,0,0.0007294,0.0007294,0.0007294
43,4762.01,1.38264,0.851,1.15866,3.18151,0.8841,0.74712,0.81708,0.47995,1.40025,0.8879,1.43905,0,0.0007228,0.0007228,0.0007228
44,4825.27,1.39305,0.83803,1.14973,3.13775,0.86015,0.71958,0.79012,0.46248,1.41209,0.92193,1.42313,0,0.0007162,0.0007162,0.0007162
45,4948.27,1.37461,0.8266,1.15105,3.14842,0.87501,0.73765,0.79909,0.44059,1.51872,0.94561,1.50896,0,0.0007096,0.0007096,0.0007096
46,5024.32,1.40445,0.86085,1.16763,3.0983,0.8841,0.73818,0.80466,0.44939,1.48972,0.95705,1.50782,0,0.000703,0.000703,0.000703
47,5094.64,1.37138,0.87278,1.18106,3.0949,0.87096,0.71841,0.78017,0.4414,1.50232,0.91312,1.49459,0,0.0006964,0.0006964,0.0006964
48,5166.51,1.33791,0.80796,1.15286,2.99454,0.89283,0.73589,0.80325,0.45363,1.44059,0.90747,1.44441,0,0.0006898,0.0006898,0.0006898
49,5258.44,1.36512,0.83661,1.16073,2.99895,0.8758,0.73438,0.80043,0.47373,1.43647,0.90971,1.47111,0,0.0006832,0.0006832,0.0006832
50,5410.87,1.35021,0.80753,1.12381,2.90313,0.88296,0.73163,0.79948,0.44325,1.53986,0.92417,1.53381,0,0.0006766,0.0006766,0.0006766
51,5497.13,1.35849,0.814,1.14939,2.95827,0.88027,0.73303,0.79698,0.43609,1.66942,0.98928,1.68402,0,0.00067,0.00067,0.00067
52,5584.42,1.3205,0.8082,1.15052,2.93142,0.85272,0.70338,0.76116,0.42716,1.50723,0.93838,1.48644,0,0.0006634,0.0006634,0.0006634
