epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2438,2.06431,2.55642,1.62346,0.43097,0.43271,0.35769,0.1529,2.00708,2.85309,1.81293,0.000330218,0.000330218,0.0673084
2,49.4869,1.83669,1.68544,1.44113,0.58121,0.48505,0.48639,0.2273,1.92854,2.00524,1.86037,0.000659172,0.000659172,0.034304
3,71.0155,1.82116,1.60329,1.45256,0.6611,0.52656,0.55018,0.26925,1.90937,1.88078,1.79132,0.000983726,0.000983726,0.00129525
4,92.5617,1.81817,1.54216,1.43059,0.52729,0.44635,0.40185,0.17443,2.13307,2.13079,2.02527,0.0009802,0.0009802,0.0009802
5,113.761,1.80181,1.54438,1.45688,0.67336,0.55169,0.59021,0.28308,1.85425,1.64382,1.73019,0.0009736,0.0009736,0.0009736
6,135.15,1.80106,1.45293,1.42685,0.73452,0.54197,0.59647,0.29933,1.75212,1.51083,1.63651,0.000967,0.000967,0.000967
7,156.569,1.76755,1.45277,1.39491,0.68523,0.53658,0.58459,0.27083,1.77861,1.61722,1.64499,0.0009604,0.0009604,0.0009604
8,177.623,1.7309,1.39743,1.40883,0.73711,0.58013,0.61859,0.32001,1.75986,1.46401,1.69268,0.0009538,0.0009538,0.0009538
9,199.408,1.71233,1.33279,1.36066,0.71445,0.65182,0.68962,0.35844,1.70356,1.36786,1.63003,0.0009472,0.0009472,0.0009472
10,220.65,1.69305,1.34166,1.38095,0.77315,0.64332,0.68375,0.36562,1.65861,1.37869,1.59549,0.0009406,0.0009406,0.0009406
11,242.172,1.69635,1.34552,1.38978,0.7679,0.62366,0.68143,0.34461,1.73569,1.26949,1.60533,0.000934,0.000934,0.000934
12,263.815,1.67851,1.29445,1.36224,0.76802,0.64263,0.69134,0.35287,1.69663,1.39155,1.5914,0.0009274,0.0009274,0.0009274
13,284.94,1.68078,1.30438,1.35173,0.73983,0.60181,0.66537,0.32593,1.70586,1.40411,1.61093,0.0009208,0.0009208,0.0009208
14,306.442,1.65104,1.25343,1.3297,0.78151,0.64858,0.69735,0.35231,1.71228,1.27316,1.61183,0.0009142,0.0009142,0.0009142
15,328.245,1.61056,1.19865,1.31071,0.71717,0.58616,0.64442,0.31838,1.77726,1.38588,1.62816,0.0009076,0.0009076,0.0009076
16,349.714,1.61127,1.19092,1.31051,0.77807,0.65228,0.71214,0.37288,1.68316,1.32412,1.59478,0.000901,0.000901,0.000901
17,371.297,1.65412,1.22388,1.32727,0.76671,0.63953,0.69523,0.35835,1.66553,1.3226,1.55197,0.0008944,0.0008944,0.0008944
18,392.579,1.61248,1.19789,1.29753,0.8282,0.66415,0.74685,0.40309,1.61216,1.17467,1.55391,0.0008878,0.0008878,0.0008878
19,414.076,1.63704,1.22309,1.32565,0.8405,0.66041,0.74318,0.38949,1.6464,1.2162,1.55336,0.0008812,0.0008812,0.0008812
20,435.536,1.57133,1.12377,1.28733,0.8499,0.62416,0.72107,0.40024,1.64968,1.19449,1.569,0.0008746,0.0008746,0.0008746
21,457.225,1.62615,1.1461,1.29532,0.82611,0.68618,0.75362,0.39104,1.63202,1.18751,1.52925,0.000868,0.000868,0.000868
22,478.383,1.61174,1.1641,1.31773,0.80341,0.67326,0.74112,0.3979,1.6368,1.16339,1.56901,0.0008614,0.0008614,0.0008614
23,499.86,1.57624,1.18014,1.3158,0.81216,0.6948,0.75141,0.39465,1.63907,1.14994,1.55064,0.0008548,0.0008548,0.0008548
24,521.117,1.57205,1.12993,1.29011,0.82873,0.69804,0.75936,0.40698,1.59796,1.14345,1.54681,0.0008482,0.0008482,0.0008482
25,542.544,1.57938,1.13369,1.29011,0.78,0.6505,0.70469,0.37897,1.69202,1.28946,1.58937,0.0008416,0.0008416,0.0008416
26,563.942,1.54416,1.14491,1.31116,0.84003,0.6809,0.75118,0.41199,1.64061,1.12102,1.60013,0.000835,0.000835,0.000835
27,585.651,1.60452,1.16935,1.31123,0.83339,0.6926,0.76208,0.45322,1.51634,1.11429,1.48661,0.0008284,0.0008284,0.0008284
28,607.339,1.54261,1.07804,1.25537,0.84594,0.7154,0.78466,0.43238,1.55914,1.07427,1.48682,0.0008218,0.0008218,0.0008218
29,628.745,1.48147,1.01541,1.23047,0.82605,0.70191,0.76502,0.41455,1.62323,1.16397,1.53763,0.0008152,0.0008152,0.0008152
30,650.034,1.51483,1.03942,1.24605,0.84444,0.6966,0.76449,0.4174,1.55792,1.08959,1.50065,0.0008086,0.0008086,0.0008086
31,671.583,1.53904,1.06691,1.27325,0.82949,0.68548,0.76008,0.40558,1.68711,1.11559,1.60426,0.000802,0.000802,0.000802
32,693.027,1.53268,1.07715,1.28273,0.85175,0.71377,0.78539,0.43381,1.56423,1.0582,1.50837,0.0007954,0.0007954,0.0007954
33,714.306,1.51962,1.05184,1.26944,0.8451,0.69978,0.76702,0.395,1.63062,1.10055,1.5438,0.0007888,0.0007888,0.0007888
34,735.693,1.52167,1.0421,1.26162,0.84553,0.71043,0.77437,0.42278,1.59842,1.21712,1.51153,0.0007822,0.0007822,0.0007822
35,756.926,1.53492,1.06742,1.26597,0.86777,0.71925,0.79206,0.45844,1.53063,1.05061,1.49817,0.0007756,0.0007756,0.0007756
36,778.295,1.51177,1.02206,1.24071,0.84651,0.70984,0.7752,0.42873,1.55799,1.03861,1.50753,0.000769,0.000769,0.000769
37,800.718,1.53449,1.05942,1.28414,0.84367,0.70382,0.7859,0.43317,1.55677,1.13145,1.47874,0.0007624,0.0007624,0.0007624
38,822.08,1.51499,1.04637,1.27256,0.83804,0.69885,0.76787,0.41895,1.55202,1.01004,1.47933,0.0007558,0.0007558,0.0007558
39,843.475,1.53048,1.06005,1.27128,0.84786,0.70716,0.77876,0.42608,1.53582,1.03786,1.47786,0.0007492,0.0007492,0.0007492
40,864.955,1.50273,1.02201,1.2414,0.88653,0.72043,0.79784,0.46158,1.53991,0.99903,1.49899,0.0007426,0.0007426,0.0007426
41,886.46,1.51909,1.04464,1.26491,0.86871,0.72228,0.79406,0.4577,1.46154,0.97811,1.43012,0.000736,0.000736,0.000736
42,907.812,1.41215,0.94187,1.2215,0.87743,0.72712,0.80184,0.45913,1.55053,0.99847,1.50518,0.0007294,0.0007294,0.0007294
43,929.476,1.46304,0.98,1.23355,0.85159,0.71484,0.77656,0.39771,1.62821,1.01972,1.53231,0.0007228,0.0007228,0.0007228
44,950.931,1.49113,0.98667,1.24497,0.88339,0.73655,0.80865,0.46207,1.47784,0.98203,1.45324,0.0007162,0.0007162,0.0007162
45,972.77,1.49506,0.9807,1.23509,0.87155,0.73718,0.80576,0.46287,1.53239,0.96865,1.48836,0.0007096,0.0007096,0.0007096
46,994.11,1.48447,0.98087,1.24389,0.87496,0.71554,0.79522,0.44952,1.5516,0.97668,1.50346,0.000703,0.000703,0.000703
47,1015.28,1.47309,0.99691,1.25485,0.86925,0.70949,0.78889,0.45155,1.56352,0.99762,1.48792,0.0006964,0.0006964,0.0006964
48,1036.6,1.4725,1.00151,1.24725,0.86603,0.71982,0.79317,0.45747,1.51719,0.98204,1.48017,0.0006898,0.0006898,0.0006898
49,1058.1,1.45914,0.94536,1.21201,0.83878,0.66615,0.76065,0.42725,1.54619,1.00324,1.50549,0.0006832,0.0006832,0.0006832
50,1079.54,1.46713,0.94545,1.21341,0.87735,0.73184,0.80288,0.43721,1.54968,0.98507,1.46498,0.0006766,0.0006766,0.0006766
51,1100.82,1.44846,0.92653,1.20792,0.87554,0.73783,0.8128,0.46518,1.50316,0.9808,1.44865,0.00067,0.00067,0.00067
52,1122.24,1.44036,0.93081,1.20408,0.87748,0.73005,0.79972,0.44137,1.49929,0.94872,1.4489,0.0006634,0.0006634,0.0006634
53,1143.75,1.43346,0.93029,1.20569,0.87466,0.73751,0.8061,0.45516,1.52313,0.94891,1.47206,0.0006568,0.0006568,0.0006568
54,1165.45,1.41901,0.92089,1.19882,0.85081,0.7139,0.78668,0.44469,1.51796,0.95986,1.47221,0.0006502,0.0006502,0.0006502
55,1186.64,1.41082,0.92778,1.2203,0.86844,0.72663,0.79239,0.43028,1.52633,0.94755,1.44875,0.0006436,0.0006436,0.0006436
56,1207.75,1.43761,0.93729,1.22571,0.88275,0.73314,0.80802,0.44107,1.52243,0.91899,1.4486,0.000637,0.000637,0.000637
57,1230.27,1.42922,0.91328,1.1971,0.87524,0.7388,0.79994,0.44863,1.50048,0.94011,1.45539,0.0006304,0.0006304,0.0006304
58,1251.44,1.40353,0.89564,1.19712,0.87283,0.73414,0.80286,0.46527,1.49206,0.93057,1.44289,0.0006238,0.0006238,0.0006238
59,1273.01,1.39738,0.89683,1.19453,0.87147,0.72421,0.79326,0.43076,1.52857,0.93543,1.47438,0.0006172,0.0006172,0.0006172
60,1294.56,1.42636,0.92598,1.22069,0.87288,0.73463,0.79974,0.43961,1.51856,0.95497,1.47697,0.0006106,0.0006106,0.0006106
61,1316.17,1.42336,0.89296,1.20103,0.87403,0.73185,0.79821,0.45055,1.48715,0.93927,1.43875,0.000604,0.000604,0.000604
62,1337.65,1.41047,0.89689,1.19117,0.88873,0.72616,0.80257,0.44041,1.55348,0.974,1.49091,0.0005974,0.0005974,0.0005974
63,1359.43,1.43197,0.88982,1.19181,0.89651,0.72338,0.79748,0.45485,1.50345,0.92766,1.45467,0.0005908,0.0005908,0.0005908
64,1380.65,1.38204,0.8456,1.17804,0.87925,0.75632,0.81389,0.46562,1.4506,0.92931,1.42988,0.0005842,0.0005842,0.0005842
65,1402.36,1.41318,0.89251,1.21309,0.88323,0.74253,0.8124,0.45853,1.53463,0.92318,1.50773,0.0005776,0.0005776,0.0005776
66,1423.61,1.38946,0.88159,1.20645,0.88077,0.74418,0.82044,0.45839,1.56058,0.93467,1.51267,0.000571,0.000571,0.000571
67,1444.73,1.37036,0.8536,1.18582,0.86471,0.68935,0.77703,0.42811,1.53718,0.94592,1.4714,0.0005644,0.0005644,0.0005644
68,1466.03,1.37629,0.86126,1.18604,0.88588,0.73595,0.81389,0.46656,1.47307,0.92058,1.44476,0.0005578,0.0005578,0.0005578
69,1487.27,1.38756,0.83938,1.17699,0.87807,0.73328,0.80365,0.45788,1.485,0.91122,1.44812,0.0005512,0.0005512,0.0005512
70,1508.62,1.38699,0.86103,1.18951,0.87248,0.7395,0.80705,0.47102,1.44381,0.89954,1.43075,0.0005446,0.0005446,0.0005446
71,1530.67,1.34446,0.84117,1.16436,0.86961,0.75359,0.8191,0.49016,1.42389,0.9162,1.41147,0.000538,0.000538,0.000538
72,1552.05,1.39477,0.86026,1.18514,0.86086,0.72946,0.79885,0.43847,1.49334,0.95088,1.43576,0.0005314,0.0005314,0.0005314
73,1573.18,1.37017,0.85433,1.18875,0.87772,0.73563,0.80355,0.45554,1.46562,0.89127,1.42572,0.0005248,0.0005248,0.0005248
74,1594.68,1.36982,0.83248,1.16374,0.87421,0.74979,0.81374,0.47596,1.43846,0.88076,1.41773,0.0005182,0.0005182,0.0005182
75,1616.21,1.3269,0.78923,1.14694,0.8862,0.74952,0.82386,0.46626,1.4948,0.91144,1.46464,0.0005116,0.0005116,0.0005116
76,1637.86,1.32665,0.80817,1.15873,0.88117,0.746,0.81034,0.44861,1.50446,0.8785,1.4387,0.000505,0.000505,0.000505
77,1659.48,1.36953,0.80519,1.15443,0.88303,0.74231,0.81483,0.43978,1.51128,0.89109,1.44773,0.0004984,0.0004984,0.0004984
78,1680.86,1.36075,0.81884,1.16332,0.89628,0.74022,0.81573,0.46979,1.52099,0.91672,1.48882,0.0004918,0.0004918,0.0004918
79,1702.36,1.29969,0.80761,1.15951,0.89265,0.76509,0.82674,0.4904,1.43509,0.85384,1.42176,0.0004852,0.0004852,0.0004852
80,1723.73,1.3663,0.82487,1.17358,0.88686,0.74805,0.8172,0.48803,1.47725,0.88394,1.46096,0.0004786,0.0004786,0.0004786
81,1745.27,1.32479,0.77176,1.12705,0.89551,0.74552,0.81557,0.46351,1.48274,0.87273,1.44046,0.000472,0.000472,0.000472
82,1766.53,1.30459,0.78584,1.15097,0.89046,0.7359,0.80422,0.45476,1.5715,0.93643,1.54023,0.0004654,0.0004654,0.0004654
