epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.6055,2.03069,2.34755,1.64139,0.52214,0.46722,0.48457,0.21844,1.98928,3.31193,2.04022,0.000330218,0.000330218,0.0673084
2,199.753,1.84861,1.74908,1.47041,0.43247,0.50093,0.39483,0.18286,1.96822,4.51422,1.94134,0.000659172,0.000659172,0.034304
3,286.904,1.83625,1.60095,1.49561,0.60021,0.47417,0.50092,0.23749,2.09905,2.45633,2.10368,0.000983726,0.000983726,0.00129525
4,338.063,1.83257,1.57313,1.48056,0.63688,0.52091,0.54624,0.25895,1.92376,2.14145,1.90159,0.0009802,0.0009802,0.0009802
5,382.194,1.84845,1.60416,1.50838,0.60847,0.48874,0.48714,0.23273,1.93852,1.93215,1.84532,0.0009736,0.0009736,0.0009736
6,429.923,1.82806,1.50416,1.46663,0.76681,0.57429,0.65344,0.30358,1.90507,1.86575,1.83205,0.000967,0.000967,0.000967
7,545.426,1.75163,1.43855,1.41845,0.63963,0.51341,0.51648,0.24614,1.97033,2.78296,1.85022,0.0009604,0.0009604,0.0009604
8,609.09,1.73826,1.40558,1.44664,0.7278,0.61913,0.67694,0.3365,1.77311,1.52603,1.75131,0.0009538,0.0009538,0.0009538
9,660.088,1.72263,1.36423,1.40454,0.82649,0.6562,0.73752,0.3872,1.74674,1.39086,1.71753,0.0009472,0.0009472,0.0009472
10,707.877,1.69493,1.36438,1.4242,0.77178,0.63962,0.69047,0.3506,1.79247,1.49247,1.72384,0.0009406,0.0009406,0.0009406
11,890.241,1.67708,1.3677,1.42041,0.68515,0.61596,0.65002,0.33304,1.81751,1.50772,1.7934,0.000934,0.000934,0.000934
12,1003.23,1.67582,1.31509,1.39229,0.71767,0.56535,0.61197,0.30296,1.82944,1.47116,1.77732,0.0009274,0.0009274,0.0009274
13,1083.14,1.66826,1.28605,1.38454,0.76475,0.60779,0.67835,0.31245,1.81392,1.43693,1.73282,0.0009208,0.0009208,0.0009208
14,1158.95,1.6648,1.30938,1.37128,0.76596,0.64542,0.70355,0.35638,1.79003,1.45419,1.75602,0.0009142,0.0009142,0.0009142
15,1217.18,1.61996,1.23137,1.35118,0.78987,0.62052,0.68953,0.36128,1.7595,1.53697,1.71825,0.0009076,0.0009076,0.0009076
16,1306.68,1.63559,1.22874,1.35639,0.73403,0.59399,0.64686,0.33846,1.7752,1.63102,1.74218,0.000901,0.000901,0.000901
17,1373.19,1.6738,1.24166,1.36162,0.76956,0.63517,0.69237,0.35414,1.71309,1.39047,1.66454,0.0008944,0.0008944,0.0008944
18,1581,1.63039,1.198,1.33481,0.79551,0.64767,0.72223,0.3707,1.70439,1.28178,1.67225,0.0008878,0.0008878,0.0008878
19,1662.64,1.63912,1.23614,1.35516,0.75139,0.58314,0.63822,0.32415,1.76524,1.41487,1.71229,0.0008812,0.0008812,0.0008812
20,1716.75,1.5654,1.15855,1.32077,0.77819,0.64891,0.72003,0.36453,1.77547,1.36614,1.73128,0.0008746,0.0008746,0.0008746
21,1812.94,1.6625,1.20799,1.34255,0.79587,0.65811,0.72269,0.35776,1.7897,1.35277,1.72487,0.000868,0.000868,0.000868
22,2035.08,1.61067,1.19469,1.34957,0.82834,0.66036,0.73741,0.40629,1.65683,1.33223,1.64423,0.0008614,0.0008614,0.0008614
23,2126.31,1.57959,1.21283,1.34822,0.82698,0.68011,0.7487,0.3906,1.69343,1.26178,1.68737,0.0008548,0.0008548,0.0008548
