epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.137,2.16218,2.89685,1.67677,0.32578,0.30128,0.1991,0.08603,1.96636,2.91266,1.59753,6.63537e-05,6.63537e-05,0.0668895
2,293.634,2.08957,2.34959,1.5616,0.40047,0.40257,0.29723,0.12455,1.96358,2.15696,1.58874,0.000126436,0.000126436,0.0336163
3,435.117,2.03182,2.16887,1.51214,0.43625,0.41776,0.339,0.15772,1.84022,1.97349,1.53982,0.000179918,0.000179918,0.000336413
4,574.003,1.98366,2.07043,1.4842,0.44655,0.4517,0.39284,0.17787,1.8433,1.84934,1.52097,0.0001703,0.0001703,0.0001703
5,713.293,1.95245,1.97022,1.46224,0.50102,0.45681,0.42891,0.1864,1.89154,1.77894,1.5424,0.0001604,0.0001604,0.0001604
6,854.722,1.94885,1.89914,1.42863,0.49482,0.43767,0.40384,0.18369,1.82948,1.73324,1.52975,0.0001505,0.0001505,0.0001505
7,1010.86,1.923,1.86192,1.42921,0.57999,0.51235,0.504,0.22994,1.809,1.72016,1.5241,0.0001406,0.0001406,0.0001406
8,1198.12,1.91671,1.81325,1.42488,0.60053,0.49953,0.51213,0.24392,1.79247,1.64069,1.47582,0.0001307,0.0001307,0.0001307
9,1389.18,1.90716,1.76163,1.39056,0.60005,0.50851,0.49387,0.24857,1.74093,1.64789,1.45449,0.0001208,0.0001208,0.0001208
10,1577.51,1.86019,1.73064,1.38828,0.64078,0.49924,0.51087,0.25102,1.75164,1.56735,1.47642,0.0001109,0.0001109,0.0001109
11,1760.93,1.83941,1.87817,1.44042,0.64381,0.52299,0.5503,0.27362,1.69973,1.59656,1.44157,0.000101,0.000101,0.000101
12,1910.36,1.85911,1.84981,1.43974,0.65353,0.5342,0.55773,0.28067,1.71382,1.59801,1.42312,9.11e-05,9.11e-05,9.11e-05
13,2047.05,1.8142,1.78054,1.4243,0.67713,0.52424,0.5524,0.27116,1.73673,1.5664,1.44204,8.12e-05,8.12e-05,8.12e-05
14,2186.31,1.81935,1.77243,1.42988,0.71628,0.51603,0.56775,0.27939,1.70982,1.51524,1.40733,7.13e-05,7.13e-05,7.13e-05
15,2325,1.82867,1.74076,1.43435,0.6594,0.51299,0.5519,0.27993,1.69891,1.51636,1.41511,6.14e-05,6.14e-05,6.14e-05
16,2461.64,1.81097,1.70199,1.39815,0.71784,0.53645,0.5782,0.29066,1.67232,1.47442,1.39376,5.15e-05,5.15e-05,5.15e-05
17,2599.84,1.79689,1.67553,1.40102,0.71496,0.54551,0.5781,0.28828,1.67189,1.46604,1.39702,4.16e-05,4.16e-05,4.16e-05
18,2735.92,1.7627,1.65678,1.39034,0.70253,0.56144,0.58654,0.30188,1.66741,1.44396,1.39478,3.17e-05,3.17e-05,3.17e-05
19,2879.35,1.78444,1.6416,1.38227,0.70875,0.57001,0.59543,0.30253,1.66959,1.42492,1.39916,2.18e-05,2.18e-05,2.18e-05
20,3054.43,1.76272,1.6294,1.39125,0.71904,0.5735,0.59583,0.30448,1.66092,1.42433,1.39286,1.19e-05,1.19e-05,1.19e-05
