epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.618,2.17548,2.92805,1.64412,0.18905,0.19072,0.07929,0.03098,2.23936,3.76022,1.85116,0.000132087,0.000132087,0.0671103
2,411.596,2.04223,2.1755,1.50214,0.36349,0.42019,0.31821,0.13306,1.97441,2.24448,1.60667,0.000252282,0.000252282,0.0338971
3,616.092,1.97843,1.92295,1.42981,0.50914,0.37257,0.35214,0.16407,1.89111,2.18882,1.53563,0.000359277,0.000359277,0.000670804
4,824.08,1.94639,1.84623,1.43254,0.5915,0.46357,0.48496,0.22655,1.82564,1.71137,1.54333,0.0003406,0.0003406,0.0003406
5,1024.64,1.91528,1.77513,1.39712,0.57668,0.50303,0.50042,0.24246,1.79358,1.67183,1.49147,0.0003208,0.0003208,0.0003208
6,1223.93,1.86666,1.68418,1.39144,0.637,0.48742,0.50949,0.2529,1.75849,1.61072,1.48006,0.000301,0.000301,0.000301
7,1422.67,1.85532,1.62973,1.37486,0.71101,0.5374,0.58133,0.27189,1.78175,1.57555,1.52712,0.0002812,0.0002812,0.0002812
8,1620.9,1.83554,1.61883,1.37784,0.64616,0.52878,0.54572,0.26759,1.76077,1.59924,1.48898,0.0002614,0.0002614,0.0002614
9,1820.39,1.84077,1.58771,1.36545,0.7397,0.55626,0.59017,0.28412,1.73194,1.51265,1.45455,0.0002416,0.0002416,0.0002416
10,2017.46,1.78743,1.53394,1.35784,0.71486,0.58644,0.5946,0.30493,1.66692,1.45591,1.42368,0.0002218,0.0002218,0.0002218
11,2209.18,1.76819,1.62543,1.35559,0.70629,0.56716,0.60568,0.30483,1.69566,1.47851,1.4499,0.000202,0.000202,0.000202
12,2402.01,1.77608,1.62579,1.36343,0.72944,0.5738,0.6191,0.33251,1.63312,1.43471,1.40521,0.0001822,0.0001822,0.0001822
13,2594.57,1.74027,1.49343,1.32882,0.74356,0.58157,0.62587,0.32421,1.66497,1.39963,1.40448,0.0001624,0.0001624,0.0001624
14,2796.56,1.70944,1.46188,1.32455,0.7699,0.60203,0.64548,0.34556,1.61239,1.37901,1.37276,0.0001426,0.0001426,0.0001426
15,2998.07,1.72801,1.46839,1.33755,0.73825,0.60075,0.64434,0.34097,1.63438,1.35264,1.38352,0.0001228,0.0001228,0.0001228
16,3198.41,1.70915,1.43513,1.31036,0.763,0.6058,0.64491,0.34398,1.59957,1.338,1.36232,0.000103,0.000103,0.000103
17,3398.1,1.69655,1.41402,1.31065,0.79095,0.60273,0.65248,0.34865,1.61899,1.302,1.39013,8.32e-05,8.32e-05,8.32e-05
18,3598.6,1.66068,1.38983,1.29185,0.78996,0.61042,0.65881,0.36023,1.58619,1.30706,1.36369,6.34e-05,6.34e-05,6.34e-05
19,3797.24,1.66285,1.35615,1.2939,0.81224,0.61252,0.66211,0.36066,1.58138,1.27218,1.36424,4.36e-05,4.36e-05,4.36e-05
20,3992.92,1.65363,1.35306,1.28781,0.80676,0.61596,0.66504,0.36163,1.58216,1.27097,1.36556,2.38e-05,2.38e-05,2.38e-05
