epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5467,2.14234,3.00331,1.65727,0.36704,0.13763,0.13452,0.04928,2.03244,3.72806,1.82895,0.000330218,0.000330218,0.0673084
2,29.5434,1.93931,2.13793,1.46287,0.37907,0.41499,0.31344,0.15258,1.88026,2.55173,1.72436,0.000659172,0.000659172,0.034304
3,43.2004,1.89694,1.9329,1.46221,0.54864,0.4236,0.4468,0.21067,1.84371,2.03592,1.70275,0.000983726,0.000983726,0.00129525
4,57.1085,1.8695,1.81835,1.44429,0.67322,0.52831,0.55797,0.26717,1.85248,2.14255,1.70158,0.0009802,0.0009802,0.0009802
5,70.9784,1.85962,1.78884,1.45967,0.69293,0.52647,0.57092,0.2768,1.76354,1.85269,1.64529,0.0009736,0.0009736,0.0009736
6,84.7018,1.86289,1.71784,1.4443,0.64346,0.52067,0.53978,0.25793,1.79375,1.76337,1.67857,0.000967,0.000967,0.000967
7,98.4703,1.82218,1.63227,1.39256,0.67492,0.5588,0.60009,0.28799,1.75193,1.69592,1.62154,0.0009604,0.0009604,0.0009604
8,112.067,1.77052,1.59123,1.41977,0.73292,0.60073,0.63521,0.30984,1.74003,1.59114,1.6238,0.0009538,0.0009538,0.0009538
9,125.653,1.77766,1.50717,1.37848,0.73177,0.58915,0.64088,0.31608,1.71653,1.57829,1.58729,0.0009472,0.0009472,0.0009472
10,139.193,1.74112,1.53958,1.40511,0.70514,0.59556,0.62844,0.31063,1.73507,1.64876,1.60294,0.0009406,0.0009406,0.0009406
11,152.901,1.73208,1.52113,1.39039,0.7409,0.60175,0.6397,0.31732,1.75902,1.54118,1.62454,0.000934,0.000934,0.000934
12,166.499,1.73546,1.4908,1.38643,0.77446,0.60258,0.65539,0.32752,1.73132,1.54903,1.60718,0.0009274,0.0009274,0.0009274
13,179.952,1.73406,1.43105,1.34972,0.77645,0.6374,0.68608,0.32823,1.68872,1.4502,1.56448,0.0009208,0.0009208,0.0009208
14,193.834,1.75144,1.4184,1.35724,0.75121,0.55793,0.62343,0.30208,1.74988,1.50454,1.58003,0.0009142,0.0009142,0.0009142
15,207.323,1.71347,1.39919,1.34184,0.70797,0.60951,0.6482,0.3419,1.68934,1.4399,1.55634,0.0009076,0.0009076,0.0009076
16,220.977,1.67574,1.34275,1.32761,0.79557,0.65362,0.69783,0.3443,1.69616,1.42362,1.55238,0.000901,0.000901,0.000901
17,234.724,1.72431,1.37173,1.3416,0.79603,0.63117,0.69079,0.36617,1.63528,1.42289,1.53494,0.0008944,0.0008944,0.0008944
18,248.476,1.68027,1.32846,1.31761,0.81296,0.65207,0.70936,0.37231,1.60923,1.38496,1.52258,0.0008878,0.0008878,0.0008878
19,262.128,1.70366,1.33355,1.34272,0.82225,0.66904,0.72402,0.36458,1.70264,1.37078,1.6007,0.0008812,0.0008812,0.0008812
20,275.597,1.61752,1.28372,1.29548,0.78977,0.62907,0.6936,0.34301,1.76646,1.42823,1.63719,0.0008746,0.0008746,0.0008746
21,289.39,1.71377,1.31394,1.32702,0.70885,0.59251,0.62263,0.31915,1.76225,1.54464,1.65238,0.000868,0.000868,0.000868
22,303.056,1.62596,1.31092,1.31676,0.81723,0.67698,0.72541,0.3887,1.63131,1.38043,1.53098,0.0008614,0.0008614,0.0008614
23,317.408,1.63232,1.28723,1.33104,0.80213,0.64288,0.70599,0.3676,1.62379,1.33075,1.53382,0.0008548,0.0008548,0.0008548
24,331.131,1.63443,1.2888,1.31845,0.82342,0.64239,0.71485,0.39606,1.64086,1.28929,1.53414,0.0008482,0.0008482,0.0008482
25,344.793,1.63034,1.24569,1.29888,0.80692,0.64486,0.72258,0.40231,1.59467,1.40041,1.51741,0.0008416,0.0008416,0.0008416
26,358.042,1.62047,1.27782,1.33749,0.78152,0.63449,0.69378,0.34617,1.7481,1.37867,1.64187,0.000835,0.000835,0.000835
27,371.894,1.64072,1.27348,1.31449,0.81088,0.67298,0.73288,0.39737,1.66319,1.30839,1.57452,0.0008284,0.0008284,0.0008284
28,385.666,1.63373,1.24617,1.28364,0.82424,0.65696,0.72699,0.38692,1.64891,1.29431,1.53452,0.0008218,0.0008218,0.0008218
