epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1977,2.0163,2.39446,1.64286,0.51006,0.47896,0.46061,0.20846,1.91106,2.9054,1.85343,0.000330218,0.000330218,0.0673084
2,79.5353,1.78379,1.6224,1.44947,0.62178,0.50146,0.52972,0.25487,1.87048,2.45749,1.91154,0.000659172,0.000659172,0.034304
3,118.94,1.75461,1.52367,1.46207,0.61703,0.55333,0.57028,0.26613,1.93965,1.75764,1.87102,0.000983726,0.000983726,0.00129525
4,158.5,1.77334,1.51755,1.46706,0.67775,0.55066,0.58013,0.27308,1.84165,1.79649,1.84166,0.0009802,0.0009802,0.0009802
5,311.118,1.78216,1.51692,1.47434,0.69338,0.59091,0.64639,0.32157,1.79951,1.66736,1.75658,0.0009736,0.0009736,0.0009736
6,387.933,1.77267,1.43864,1.44892,0.66308,0.53763,0.55558,0.29714,1.75954,1.66179,1.75117,0.000967,0.000967,0.000967
7,427.667,1.71124,1.39508,1.39955,0.78017,0.595,0.67223,0.32801,1.80015,1.61264,1.74756,0.0009604,0.0009604,0.0009604
8,467.599,1.70435,1.36667,1.43534,0.70013,0.61437,0.63961,0.30166,1.75336,1.51309,1.73068,0.0009538,0.0009538,0.0009538
9,507.48,1.67238,1.2792,1.38296,0.79404,0.63705,0.71227,0.37233,1.76643,1.37969,1.75592,0.0009472,0.0009472,0.0009472
10,546.727,1.68949,1.31006,1.41795,0.7021,0.59905,0.61628,0.30778,1.73977,1.52276,1.68324,0.0009406,0.0009406,0.0009406
11,586.063,1.63958,1.28296,1.39271,0.81786,0.66195,0.739,0.38675,1.68297,1.32166,1.64987,0.000934,0.000934,0.000934
12,624.93,1.62054,1.2395,1.36888,0.81369,0.666,0.72797,0.38665,1.66692,1.33907,1.65846,0.0009274,0.0009274,0.0009274
13,668.33,1.61367,1.20907,1.35986,0.81013,0.65322,0.71601,0.35133,1.77152,1.4066,1.75926,0.0009208,0.0009208,0.0009208
14,707.079,1.62358,1.19559,1.35529,0.79494,0.63478,0.70221,0.35931,1.72577,1.31156,1.68134,0.0009142,0.0009142,0.0009142
15,748.682,1.58869,1.14961,1.33374,0.78797,0.62007,0.67519,0.34348,1.74238,1.32595,1.69254,0.0009076,0.0009076,0.0009076
16,787.991,1.58224,1.12418,1.33821,0.84095,0.65297,0.73882,0.39976,1.63639,1.23848,1.63906,0.000901,0.000901,0.000901
17,830.759,1.67628,1.18167,1.36497,0.81805,0.67556,0.73637,0.3816,1.63768,1.23131,1.60499,0.0008944,0.0008944,0.0008944
18,869.802,1.5825,1.131,1.32474,0.84535,0.681,0.75973,0.42436,1.5986,1.30486,1.59564,0.0008878,0.0008878,0.0008878
19,909.363,1.58967,1.15458,1.33798,0.81449,0.66071,0.73441,0.37607,1.66432,1.3158,1.65643,0.0008812,0.0008812,0.0008812
20,948.346,1.51536,1.10198,1.2993,0.8232,0.68509,0.75997,0.38677,1.72733,1.20412,1.67366,0.0008746,0.0008746,0.0008746
21,987.691,1.60872,1.15823,1.31716,0.77609,0.66274,0.72726,0.39301,1.59668,1.30615,1.59801,0.000868,0.000868,0.000868
22,1026.53,1.55183,1.15501,1.32864,0.83069,0.67162,0.74928,0.41729,1.67905,1.33003,1.6807,0.0008614,0.0008614,0.0008614
23,1065.52,1.52909,1.12579,1.33276,0.86205,0.71645,0.78062,0.40972,1.64349,1.21103,1.64624,0.0008548,0.0008548,0.0008548
24,1104.68,1.52889,1.08841,1.3148,0.8445,0.68567,0.75457,0.41815,1.60843,1.13126,1.6249,0.0008482,0.0008482,0.0008482
25,1143.96,1.53753,1.08593,1.30935,0.82927,0.68956,0.74881,0.42331,1.60927,1.18285,1.62104,0.0008416,0.0008416,0.0008416
26,1182.87,1.50151,1.08571,1.33834,0.84734,0.69384,0.77097,0.43132,1.62079,1.10758,1.64702,0.000835,0.000835,0.000835
27,1295.52,1.53202,1.06571,1.30809,0.86884,0.7026,0.78007,0.44465,1.57678,1.07822,1.57544,0.0008284,0.0008284,0.0008284
28,1334.94,1.49818,1.02265,1.27583,0.8762,0.71508,0.78841,0.43312,1.61971,1.11592,1.61505,0.0008218,0.0008218,0.0008218
29,1373.76,1.42736,0.96143,1.24853,0.86149,0.69904,0.77589,0.4163,1.6081,1.11377,1.58329,0.0008152,0.0008152,0.0008152
30,1412.92,1.4545,0.98816,1.25739,0.80355,0.64795,0.7098,0.39271,1.59848,1.20138,1.59701,0.0008086,0.0008086,0.0008086
31,1452.92,1.47925,1.02961,1.28387,0.82636,0.70254,0.76929,0.42612,1.64312,1.17778,1.64767,0.000802,0.000802,0.000802
32,1492.1,1.47541,1.02531,1.29227,0.87372,0.68197,0.76823,0.42467,1.56504,1.16972,1.58054,0.0007954,0.0007954,0.0007954
33,1537.72,1.46201,0.98594,1.28725,0.88267,0.71369,0.79463,0.43126,1.5921,1.08624,1.59704,0.0007888,0.0007888,0.0007888
34,1576.9,1.45361,0.97188,1.27439,0.88502,0.73585,0.81141,0.45079,1.58284,1.05072,1.59064,0.0007822,0.0007822,0.0007822
35,1616.27,1.47787,0.98507,1.27696,0.87148,0.73334,0.79779,0.46174,1.53363,1.09472,1.55396,0.0007756,0.0007756,0.0007756
36,1655.6,1.45014,0.95702,1.24741,0.87669,0.72952,0.80169,0.45996,1.48869,1.01873,1.51205,0.000769,0.000769,0.000769
37,1698.27,1.4567,0.98769,1.27755,0.847,0.73646,0.78868,0.41524,1.59596,1.13228,1.56596,0.0007624,0.0007624,0.0007624
38,1738.4,1.43919,0.95669,1.27776,0.86778,0.70529,0.7871,0.44359,1.50664,1.01355,1.5216,0.0007558,0.0007558,0.0007558
