epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.147,2.0163,2.39446,1.64286,0.51006,0.47896,0.46061,0.20846,1.91106,2.9054,1.85343,0.000330218,0.000330218,0.0673084
2,79.2163,1.78772,1.62901,1.4522,0.62136,0.5068,0.49176,0.2321,1.9268,2.96118,1.94985,0.000656982,0.000656982,0.0343018
3,119.496,1.77231,1.56233,1.46885,0.42045,0.5188,0.39642,0.17141,1.93851,2.33676,1.85185,0.000977146,0.000977146,0.00128867
4,161.748,1.80392,1.57544,1.48191,0.625,0.52556,0.54173,0.26704,1.89261,1.84647,1.95089,0.0009703,0.0009703,0.0009703
5,282.206,1.76358,1.60118,1.48152,0.60153,0.55174,0.57514,0.27526,1.85185,1.81424,1.78187,0.0009604,0.0009604,0.0009604
6,341.577,1.78788,1.48901,1.45187,0.73189,0.58999,0.64704,0.32557,1.80937,1.49405,1.7682,0.0009505,0.0009505,0.0009505
7,390.677,1.72729,1.39956,1.41466,0.68831,0.58442,0.61756,0.29808,1.84786,1.79793,1.77681,0.0009406,0.0009406,0.0009406
8,432.326,1.69534,1.35662,1.42639,0.73314,0.61081,0.64917,0.34877,1.75308,1.46296,1.74664,0.0009307,0.0009307,0.0009307
9,474.564,1.67647,1.27463,1.37932,0.80785,0.66425,0.73176,0.38795,1.69197,1.29508,1.68721,0.0009208,0.0009208,0.0009208
10,516.16,1.65471,1.27471,1.40754,0.80112,0.63344,0.69518,0.3424,1.78131,1.43282,1.7405,0.0009109,0.0009109,0.0009109
11,570.859,1.6403,1.28779,1.40141,0.78314,0.65468,0.71729,0.38488,1.65962,1.32538,1.66723,0.000901,0.000901,0.000901
12,609.974,1.62348,1.27785,1.37007,0.75291,0.62888,0.68238,0.34801,1.69258,1.34565,1.66387,0.0008911,0.0008911,0.0008911
13,649.926,1.61184,1.22122,1.35477,0.7811,0.64323,0.70195,0.3317,1.75402,1.45192,1.72076,0.0008812,0.0008812,0.0008812
14,689.484,1.61902,1.20352,1.34934,0.76457,0.65032,0.68527,0.33707,1.72588,1.36537,1.67831,0.0008713,0.0008713,0.0008713
15,736.376,1.58752,1.18854,1.33791,0.79094,0.65747,0.71018,0.36604,1.67861,1.34621,1.6538,0.0008614,0.0008614,0.0008614
16,778.003,1.58377,1.16788,1.34087,0.81802,0.67679,0.74335,0.3911,1.67301,1.2882,1.65703,0.0008515,0.0008515,0.0008515
17,991.142,1.62507,1.16861,1.34887,0.84146,0.68644,0.75842,0.41064,1.63246,1.27913,1.63398,0.0008416,0.0008416,0.0008416
18,1033,1.57656,1.12646,1.31559,0.84197,0.70219,0.76482,0.41775,1.62126,1.20428,1.62988,0.0008317,0.0008317,0.0008317
19,1074.6,1.57564,1.16404,1.33001,0.82512,0.64161,0.73711,0.39329,1.63404,1.21671,1.61045,0.0008218,0.0008218,0.0008218
20,1116.07,1.52702,1.11313,1.30719,0.83171,0.67915,0.74373,0.37583,1.76115,1.2431,1.74981,0.0008119,0.0008119,0.0008119
21,1157.82,1.57896,1.11655,1.3161,0.79084,0.62375,0.69273,0.36363,1.64508,1.2875,1.6306,0.000802,0.000802,0.000802
22,1199.69,1.53389,1.10454,1.3142,0.82815,0.68017,0.75344,0.41291,1.60407,1.24982,1.59963,0.0007921,0.0007921,0.0007921
23,1243.15,1.50787,1.10767,1.31855,0.8418,0.70917,0.77531,0.41615,1.59609,1.16734,1.59012,0.0007822,0.0007822,0.0007822
24,1284.7,1.51236,1.06515,1.30459,0.79366,0.68701,0.74621,0.42362,1.56515,1.13936,1.59096,0.0007723,0.0007723,0.0007723
25,1326.85,1.53403,1.06568,1.29922,0.83427,0.68974,0.75457,0.42085,1.58891,1.17183,1.61022,0.0007624,0.0007624,0.0007624
26,1369.02,1.48545,1.077,1.32495,0.86339,0.72152,0.78769,0.43743,1.58072,1.10731,1.60241,0.0007525,0.0007525,0.0007525
27,1412.08,1.50178,1.04625,1.29857,0.85887,0.72455,0.78769,0.43402,1.60472,1.09031,1.5951,0.0007426,0.0007426,0.0007426
28,1453.67,1.49475,1.01898,1.27386,0.88957,0.70578,0.78907,0.43879,1.61005,1.09983,1.60811,0.0007327,0.0007327,0.0007327
29,1495.14,1.40887,0.94009,1.2373,0.87158,0.72398,0.79072,0.44012,1.59473,1.06049,1.60434,0.0007228,0.0007228,0.0007228
30,1536.69,1.45097,0.96615,1.25701,0.87428,0.73018,0.79804,0.44934,1.60148,1.12084,1.62571,0.0007129,0.0007129,0.0007129
31,1595.26,1.45517,0.9925,1.2756,0.87873,0.72803,0.80118,0.44814,1.59815,1.10494,1.62045,0.000703,0.000703,0.000703
32,1636.72,1.47322,1.01262,1.29491,0.85722,0.71607,0.7866,0.43656,1.5406,1.11042,1.58887,0.0006931,0.0006931,0.0006931
33,1687.84,1.45138,0.98512,1.28724,0.85466,0.71688,0.78672,0.4398,1.52043,1.04739,1.56758,0.0006832,0.0006832,0.0006832
34,1729.2,1.44535,0.97207,1.26817,0.89831,0.75253,0.81381,0.46369,1.48751,1.04317,1.52029,0.0006733,0.0006733,0.0006733
35,1770.9,1.46298,0.97864,1.27473,0.8914,0.74262,0.81566,0.46715,1.49871,1.05234,1.53433,0.0006634,0.0006634,0.0006634
36,1812.65,1.44525,0.95232,1.24577,0.84871,0.70116,0.7658,0.41093,1.59006,1.07778,1.61041,0.0006535,0.0006535,0.0006535
37,1860.39,1.44972,0.97892,1.28135,0.89112,0.74687,0.81548,0.4557,1.51323,1.00588,1.5517,0.0006436,0.0006436,0.0006436
38,1903.02,1.40577,0.92557,1.26119,0.87583,0.7213,0.79391,0.45688,1.49634,0.9922,1.54572,0.0006337,0.0006337,0.0006337
39,1944.48,1.44553,0.95919,1.27428,0.87606,0.74012,0.80602,0.45477,1.53574,1.04205,1.57564,0.0006238,0.0006238,0.0006238
40,1985.91,1.41495,0.94164,1.2439,0.89288,0.74074,0.80702,0.47066,1.50169,1.01615,1.55354,0.0006139,0.0006139,0.0006139
41,2027.54,1.43186,0.97242,1.26123,0.88024,0.72341,0.80139,0.46497,1.48926,1.03528,1.54041,0.000604,0.000604,0.000604
42,2068.64,1.34287,0.88011,1.22959,0.87441,0.75558,0.81989,0.46652,1.47746,0.98782,1.51858,0.0005941,0.0005941,0.0005941
43,2109.5,1.38371,0.88604,1.23409,0.88053,0.74441,0.81462,0.43791,1.56331,0.98865,1.56102,0.0005842,0.0005842,0.0005842
44,2149.42,1.40476,0.88447,1.24412,0.86556,0.76142,0.81668,0.4551,1.49898,0.9953,1.54829,0.0005743,0.0005743,0.0005743
