epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.975,2.16218,2.89685,1.67677,0.32578,0.30128,0.1991,0.08603,1.96636,2.91266,1.59753,6.63537e-05,6.63537e-05,0.0668895
2,339.658,2.09011,2.3493,1.56185,0.40001,0.39877,0.29595,0.12524,1.96167,2.17625,1.5826,0.000128631,0.000128631,0.0336185
3,504.303,2.03127,2.16838,1.5089,0.42599,0.40945,0.33666,0.15528,1.84898,2.00733,1.54027,0.000186508,0.000186508,0.000343002
4,666.033,1.98722,2.06203,1.48048,0.4378,0.45459,0.39538,0.17752,1.84789,1.87284,1.52792,0.0001802,0.0001802,0.0001802
5,847.192,1.94808,1.97198,1.46804,0.51425,0.45324,0.42671,0.18142,1.90733,1.83414,1.57617,0.0001736,0.0001736,0.0001736
6,1005.65,1.94736,1.904,1.43201,0.55118,0.43987,0.42147,0.19218,1.83314,1.72687,1.54288,0.000167,0.000167,0.000167
7,1207.94,1.92066,1.85749,1.42891,0.57371,0.47807,0.4764,0.21536,1.80868,1.75823,1.51347,0.0001604,0.0001604,0.0001604
8,1400.32,1.91961,1.80665,1.42622,0.59799,0.51951,0.51483,0.24492,1.8017,1.60229,1.4897,0.0001538,0.0001538,0.0001538
9,1556.48,1.91208,1.75736,1.38994,0.58547,0.51891,0.5115,0.25534,1.76051,1.64722,1.4578,0.0001472,0.0001472,0.0001472
10,1759.85,1.86226,1.7163,1.38619,0.63844,0.4974,0.50568,0.2467,1.75802,1.55358,1.48383,0.0001406,0.0001406,0.0001406
11,1922.51,1.87171,1.70008,1.39639,0.67601,0.52718,0.53523,0.2613,1.74495,1.53708,1.47276,0.000134,0.000134,0.000134
12,2081.53,1.82693,1.66062,1.39277,0.68921,0.57001,0.58029,0.28711,1.72029,1.49725,1.46932,0.0001274,0.0001274,0.0001274
13,2230.32,1.85498,1.66367,1.38281,0.68792,0.56159,0.57597,0.28222,1.74102,1.53627,1.47116,0.0001208,0.0001208,0.0001208
14,2376.64,1.83283,1.62048,1.37781,0.72125,0.56943,0.60184,0.29642,1.73605,1.42316,1.46543,0.0001142,0.0001142,0.0001142
15,2522.49,1.83322,1.61082,1.37146,0.74037,0.54743,0.57921,0.28011,1.75784,1.47399,1.46743,0.0001076,0.0001076,0.0001076
16,2667.74,1.81661,1.61272,1.38202,0.73047,0.56333,0.60243,0.29323,1.72801,1.46589,1.47291,0.000101,0.000101,0.000101
17,2814.37,1.84054,1.56984,1.3529,0.73244,0.56024,0.60596,0.30933,1.69125,1.41922,1.42892,9.44e-05,9.44e-05,9.44e-05
18,2960.16,1.81398,1.53839,1.34677,0.75771,0.57962,0.62158,0.31652,1.68687,1.39292,1.40958,8.78e-05,8.78e-05,8.78e-05
19,3104.66,1.78188,1.56707,1.37608,0.74009,0.59087,0.62835,0.32252,1.67583,1.38825,1.40874,8.12e-05,8.12e-05,8.12e-05
20,3251.04,1.82296,1.57452,1.3652,0.75505,0.58098,0.61999,0.31367,1.69455,1.38716,1.4316,7.46e-05,7.46e-05,7.46e-05
21,3393.26,1.79801,1.68439,1.40775,0.74442,0.58289,0.62894,0.32346,1.66427,1.40719,1.3996,6.8e-05,6.8e-05,6.8e-05
22,3535.82,1.76629,1.64854,1.39379,0.75865,0.57855,0.62056,0.32385,1.64441,1.43689,1.38501,6.14e-05,6.14e-05,6.14e-05
23,3675.9,1.74571,1.57179,1.37838,0.76204,0.57685,0.62463,0.3184,1.70164,1.39728,1.43721,5.48e-05,5.48e-05,5.48e-05
24,3817,1.75195,1.60363,1.40017,0.76341,0.5713,0.61925,0.33201,1.62683,1.36644,1.39897,4.82e-05,4.82e-05,4.82e-05
25,3957.49,1.73286,1.57733,1.38551,0.7435,0.57993,0.62841,0.32736,1.65197,1.37497,1.40542,4.16e-05,4.16e-05,4.16e-05
26,4097.77,1.74914,1.57268,1.38697,0.76495,0.58802,0.63423,0.33235,1.64246,1.35142,1.3912,3.5e-05,3.5e-05,3.5e-05
27,4237.47,1.72953,1.56519,1.38063,0.75769,0.59665,0.63912,0.34044,1.61881,1.34174,1.38273,2.84e-05,2.84e-05,2.84e-05
28,4382.25,1.72342,1.55028,1.36832,0.75988,0.5991,0.63937,0.33871,1.61549,1.34207,1.38107,2.18e-05,2.18e-05,2.18e-05
29,4523.09,1.70689,1.53451,1.38048,0.75435,0.59633,0.64094,0.33872,1.61272,1.33598,1.37843,1.52e-05,1.52e-05,1.52e-05
30,4663.73,1.72251,1.53563,1.36931,0.78211,0.58549,0.6398,0.33502,1.62758,1.34841,1.38809,8.6e-06,8.6e-06,8.6e-06
