epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,415.555,2.14647,2.54878,1.71079,0.22824,0.32877,0.17137,0.06603,2.19242,3.84098,1.8438,0.000396262,0.000396262,0.0673745
2,786.284,2.013,1.88545,1.53141,0.51107,0.44062,0.40147,0.18059,1.87435,2.03121,1.78614,0.000788379,0.000788379,0.0344332
3,1185.5,2.01335,1.81471,1.49698,0.51282,0.47707,0.45803,0.21554,1.90387,1.93118,1.73618,0.00117258,0.00117258,0.0014841
4,1595.86,1.99576,1.81302,1.50071,0.62112,0.45847,0.48608,0.21622,1.97981,1.75225,1.72139,0.00116436,0.00116436,0.00116436
5,1994.91,1.94114,1.693,1.49815,0.64285,0.51974,0.55214,0.24695,1.8964,1.72155,1.68784,0.00115248,0.00115248,0.00115248
6,2381.3,1.92628,1.56781,1.44122,0.67507,0.49889,0.54114,0.25153,1.87163,1.59582,1.64385,0.0011406,0.0011406,0.0011406
7,2780.07,1.85792,1.55283,1.44057,0.65976,0.50232,0.52128,0.25203,1.82735,1.55178,1.63883,0.00112872,0.00112872,0.00112872
8,3145.41,1.8377,1.50563,1.41272,0.64404,0.50073,0.5176,0.23767,1.88422,1.75294,1.64908,0.00111684,0.00111684,0.00111684
9,3479,1.85045,1.47535,1.41208,0.69783,0.55503,0.59412,0.28833,1.83262,1.4818,1.62445,0.00110496,0.00110496,0.00110496
10,3802.63,1.81212,1.44724,1.40562,0.69215,0.57519,0.56292,0.26618,1.80868,1.44103,1.61492,0.00109308,0.00109308,0.00109308
11,4121.56,1.78366,1.40259,1.36254,0.76807,0.62516,0.65018,0.32984,1.72123,1.3638,1.53712,0.0010812,0.0010812,0.0010812
12,4454.6,1.81857,1.39334,1.38721,0.76779,0.61658,0.64689,0.33207,1.69115,1.30921,1.51486,0.00106932,0.00106932,0.00106932
13,4778.82,1.78791,1.31819,1.32468,0.78733,0.62972,0.67629,0.35073,1.69792,1.29961,1.51985,0.00105744,0.00105744,0.00105744
14,5099.1,1.75061,1.32859,1.34378,0.79362,0.62423,0.66854,0.33942,1.75074,1.38885,1.55468,0.00104556,0.00104556,0.00104556
15,5414.21,1.7548,1.36332,1.35191,0.77243,0.63981,0.67929,0.35062,1.70534,1.38898,1.5221,0.00103368,0.00103368,0.00103368
16,5730.16,1.78679,1.34893,1.35862,0.73144,0.64023,0.67675,0.35483,1.70241,1.31901,1.51241,0.0010218,0.0010218,0.0010218
17,6048.34,1.75526,1.297,1.32302,0.79025,0.61141,0.67227,0.33653,1.69888,1.31309,1.49056,0.00100992,0.00100992,0.00100992
18,6390.89,1.71289,1.234,1.31373,0.8352,0.64889,0.71465,0.38481,1.63657,1.19009,1.49025,0.00099804,0.00099804,0.00099804
19,6803.6,1.70395,1.24781,1.3313,0.80086,0.65102,0.70409,0.36311,1.70226,1.24745,1.52807,0.00098616,0.00098616,0.00098616
20,7217.7,1.69977,1.21626,1.31323,0.81517,0.62266,0.69406,0.36031,1.63967,1.25419,1.48776,0.00097428,0.00097428,0.00097428
