epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9388,2.09801,2.59083,1.6706,0.51385,0.43394,0.39722,0.18503,1.89431,2.30672,1.82067,0.000330218,0.000330218,0.0673084
2,43.7011,1.84351,1.81901,1.46267,0.53465,0.49947,0.4707,0.22922,1.80194,1.86671,1.72635,0.000659172,0.000659172,0.034304
3,64.1631,1.82694,1.58419,1.45625,0.6788,0.56136,0.58967,0.2887,1.82047,1.70265,1.69713,0.000983726,0.000983726,0.00129525
4,84.8814,1.78866,1.51884,1.4325,0.58642,0.54654,0.5292,0.24339,1.83909,2.24684,1.76867,0.0009802,0.0009802,0.0009802
5,105.557,1.80308,1.55778,1.45436,0.68114,0.58871,0.60918,0.30129,1.79579,1.65031,1.69541,0.0009736,0.0009736,0.0009736
6,126.372,1.80414,1.46876,1.4163,0.74497,0.55341,0.63277,0.32992,1.77495,1.47897,1.68986,0.000967,0.000967,0.000967
7,147.487,1.78388,1.47131,1.39288,0.71059,0.59404,0.63,0.30607,1.7681,1.75078,1.6478,0.0009604,0.0009604,0.0009604
8,168.26,1.73654,1.47633,1.41613,0.73141,0.56837,0.65874,0.33479,1.72341,1.47678,1.61716,0.0009538,0.0009538,0.0009538
9,189.256,1.71292,1.34611,1.36106,0.7855,0.67835,0.71915,0.35758,1.73552,1.39451,1.64781,0.0009472,0.0009472,0.0009472
10,209.963,1.68639,1.33201,1.38963,0.77174,0.63708,0.698,0.3457,1.76919,1.35291,1.6465,0.0009406,0.0009406,0.0009406
11,230.55,1.68122,1.3291,1.37344,0.8155,0.65848,0.72406,0.368,1.71428,1.28941,1.63253,0.000934,0.000934,0.000934
12,251.231,1.66602,1.30985,1.3559,0.78217,0.61576,0.6726,0.34278,1.6768,1.31114,1.58501,0.0009274,0.0009274,0.0009274
13,271.824,1.66333,1.27695,1.33639,0.74322,0.63876,0.67981,0.32193,1.71368,1.35866,1.60798,0.0009208,0.0009208,0.0009208
14,292.732,1.64589,1.24827,1.32705,0.79125,0.65886,0.70174,0.34482,1.78397,1.33032,1.66581,0.0009142,0.0009142,0.0009142
15,314.14,1.63224,1.22247,1.3152,0.78616,0.63066,0.71082,0.36466,1.7015,1.36904,1.59563,0.0009076,0.0009076,0.0009076
16,335.33,1.60703,1.16473,1.31045,0.83274,0.67422,0.735,0.37333,1.71237,1.20891,1.61408,0.000901,0.000901,0.000901
17,356.577,1.64703,1.19094,1.32591,0.8561,0.69389,0.75696,0.40024,1.62683,1.24679,1.56821,0.0008944,0.0008944,0.0008944
